Unnamed: 0,project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.91843,-76.68496999999999
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.98704,-76.64413
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.94784,-76.62118000000001
3455,6736,6523.0,6488.0,545,York Traditions Bank Corporate Office,,,,Hintz-Kuhlman,2020-03-19 07:18:08.238171,2020-03-19 07:18:22.096225,2.0,5,False,True,1,140.0,3086.5,0.11,,1,8120.0,20000.0,1,5460.0,5460.0,312.0,2378.600000000001,24808118.39999999,1495.7264957264981,10601.759999999991,70,70,898.6142880000001,898.6142880000001,,16175.76948,,5.555310918043571,226 Pauline Drive,York,PA,17402.0,39.99232,-76.64635
3456,6737,6517.0,6482.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-03-19 06:58:25.865381,2020-03-19 06:58:27.158358,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,9449.41307692308,3.79,26.35683697733933,710 S 13th Street,Oregon,IL,61061.0,42.01475,-89.33233
3456,6737,6517.0,6482.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-03-19 06:58:25.865381,2020-03-19 06:58:27.158358,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,9449.41307692308,3.79,26.35683697733933,710 S 13th Street,Oregon,IL,61061.0,41.98284,-89.32992
3456,6737,6517.0,6482.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-03-19 06:58:25.865381,2020-03-19 06:58:27.158358,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,9449.41307692308,3.79,26.35683697733933,710 S 13th Street,Oregon,IL,61061.0,41.97857,-89.45510999999999
3456,6737,6517.0,6482.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-03-19 06:58:25.865381,2020-03-19 06:58:27.158358,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,9449.41307692308,3.79,26.35683697733933,710 S 13th Street,Oregon,IL,61061.0,42.0849,-89.33803
3456,6737,6517.0,6482.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-03-19 06:58:25.865381,2020-03-19 06:58:27.158358,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,9449.41307692308,3.79,26.35683697733933,710 S 13th Street,Oregon,IL,61061.0,41.90952,-89.33471999999999
3457,6737,7639.0,7635.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-05-22 14:14:43.990962,2020-05-22 14:14:45.313803,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,5964.0,2.39,41.76000000000001,710 S 13th Street,Oregon,IL,61061.0,42.01475,-89.33233
3457,6737,7639.0,7635.0,480,Village of Progress,30.0,Light Manufacturers,,Kub Inc,2020-05-22 14:14:43.990962,2020-05-22 14:14:45.313803,2.0,5,True,True,1,1.0,2349.0,0.1,,1,124.0,20000.0,1,142.0,142.0,142.0,56.0,18679248.0,21.28565346956152,7952.0,1,1,2268.1944,2490.5664,,5964.0,2.39,41.76000000000001,710 S 13th Street,Oregon,IL,61061.0,41.98284,-89.32992
