project_id,option_id,option_calculation_id,company_id,projects_name,facility_type_id,facility_type,industry_type_id,name,started_at,finished_at,tax_rate_source,finance_discount_rate,tax_exempt,active,area_count,area_count_sum,ave_annual_hours,max_kwh_cost,max_kwh_cost_simple,existing_lighting_count,total_watts_per_product,ave_lm70,total_solution_count,total_existing_quantity,total_proposed_quantity,total_replacement_count,total_fixture_watts,total_fixture_watt_hours,total_fixture_life_years,total_item_watts,sol_total_existing_count,total_product_count,energy_savings_per_year,total_savings_per_year,rebates,net_replacement_cost,payback,ROI,address,city,state,zip_code,latitude,longitude,existing_kwh,proposed_kwh,kwh_proposed_annual_savings
7605,7137.0,7108.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:43.889277,2020-10-30 19:06:49.282905,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,30697.0,30373.0,5986.0,12466.5,912459120.0,3584.474885844746,104162.0,653,629,13241.9664,18613.9634,5167.0,52756.675,2.81,35.28266972852251,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,298155.36,142367.52,155787.84
7605,7138.0,7109.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:38.695274,2020-10-30 19:06:43.761734,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,368.0,368.0,5986.0,12466.5,912459120.0,3584.4748858447456,104162.0,653,629,9390.8952,11181.1472,864.0,11443.9,1.02,97.7039925200325,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,150707.04,40225.92,110481.12
7605,7139.0,7110.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:34.06321,2020-10-30 19:06:38.54042,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,0.0,0.0,5986.0,12466.5,912459120.0,3584.4748858447456,104162.0,653,629,1000.7424,1236.6784,112.0,937.6,0.76,131.89829351535835,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,15697.92,3924.48,11773.44
7605,7238.0,7209.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-10-30 19:06:29.044683,2020-10-30 19:06:33.853171,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,30697.0,30373.0,5986.0,12466.5,912459120.0,3584.4748858447456,104162.0,653,629,13241.9664,18613.9634,5167.0,52756.675,2.81,35.28266972852251,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,298155.36,142367.52,155787.84
7605,8872.0,8868.0,581,UPMC Quantum Building ,35.0,Medical Offices,2239.0,"Harvey, Kozey and Schuster",2020-11-03 17:54:42.261251,2020-11-03 17:54:44.074905,2.0,5,False,True,14,11440.0,8760.0,0.085,,14,7622160.0,16954.545454545452,14,368.0,368.0,5986.0,12461.6,911085552.0,3584.4748858447447,104005.2,653,629,2002.08048,2022.81248,,6352.11,3.34,31.844733167404215,2 Hot Metal Street,Pittsburgh,PA,15203.0,40.42589,-79.964516,32972.64,9418.752,23553.888
7625,7031.0,7002.0,557,Terraces on 7th Senior Village,,,2357.0,Schoen-Kutch,2021-01-18 22:11:11.466582,2021-01-18 22:11:13.101708,2.0,5,False,True,9,855.0,4616.6,0.09,,9,748125.0,16777.777777777777,9,1283.0,793.0,218.0,663.0,34889295.0,315.0672923064915,6274.0,696,296,13550.5548,15948.308133333301,,34616.4,2.12,46.071538731160096,,,,,,,185451.015,34889.295,150561.72000000006
7625,8116.0,8112.0,557,Terraces on 7th Senior Village,,,2357.0,Schoen-Kutch,2021-01-18 22:11:09.672022,2021-01-18 22:11:11.399736,2.0,5,False,True,9,855.0,4616.6,0.09,,9,748125.0,16777.777777777777,9,519.0,519.0,198.0,495.0,28726635.0,292.2362420781809,5392.0,20,20,13567.1112,15964.8645333333,,44211.7,2.68,36.11004447540653,,,,,,,185451.015,34705.335,150745.68000000002
7625,9454.0,9450.0,557,Terraces on 7th Senior Village,,,2357.0,Schoen-Kutch,2021-02-08 19:58:18.18953,2021-02-08 19:58:27.86759,2.0,5,False,True,9,855.0,4616.6,0.09,,9,748125.0,16777.777777777777,9,519.0,519.0,198.0,495.0,28726635.0,292.236242078181,5392.0,20,20,13567.1112,15964.8645333333,,40065.9,2.44,39.84651420118679,,,,,,,185451.015,34705.335,150745.68000000002
7627,7090.0,7061.0,551,MVTCIT 200 K Street NW,40.0,Office (General Office Types),,Osinski LLC,2020-03-23 19:26:47.523823,2020-03-23 19:26:48.685572,2.0,5,False,True,7,210.0,4380.0,0.166,0.134,7,88200.0,6428.571428571429,7,25.0,25.0,189.0,253.0,9614100.0,639.269406392694,2195.0,18,17,574.2180000000002,574.2180000000002,,2185.2363636363616,3.75,26.27715745332315,,,,,,,5869.2,2041.08,3828.12
7628,7051.0,7022.0,447,"Restaurant Depot, LLC",21.0,Food Stores,,"Connelly, Bins and Walter",2020-03-18 05:57:04.880653,2020-03-18 05:57:13.516421,2.0,5,False,True,7,484.0,8760.0,0.1,,7,757988.0,14545.454545454544,7,1529.0,1529.0,420.0,2710.0,154659600.0,586.0053188820318,23150.0,76,76,18729.816000000006,18729.816000000006,,19207.25,1.02,97.51430319280482,12665 S. Pulaski Rd.,Alsip,IL,60803.0,41.663654,-87.71911,303628.56,116330.4,187298.16
